number,city,area,name,set,address,x,y,tel
61,基隆市,安樂區,基隆市安樂區西定國民小學附設幼兒園,公立,基隆市安樂區新西街1號,121.732235,25.136478,(02)24223856#61
62,基隆市,安樂區,基隆市安樂區安樂國民小學附設幼兒園,公立,基隆市安樂區安一路177巷23號,121.731871,25.131764,(02)24220814
63,基隆市,安樂區,基隆市立安心幼兒園,公立,基隆市安樂區麥金路482之1號,121.719533,25.125941,(02)24303200#221
64,基隆市,安樂區,基隆市立安心幼兒園中崙分班,公立,基隆市安樂區基金二路3巷7號1-2樓,121.702107,25.143177,(02)24328761
65,基隆市,安樂區,基隆市私立城上城幼兒園,私立,基隆市安樂區麥金路201號2、3樓,121.721078,25.121578,(02)24311188
66,基隆市,安樂區,基隆市私立一丫一丫幼兒園,私立,基隆市安樂區基金一路208巷176號,121.708295,25.14769,(02)24343399
67,基隆市,安樂區,基隆市私立安琪兒幼兒園,私立,基隆市安樂區基金一路135巷13號,121.709118,25.140999,(02)24332095
68,基隆市,安樂區,基隆市私立長樂森林幼兒園,私立,基隆市安樂區基金一路121巷36之1號,121.716907,25.136527,(02)24324298
69,基隆市,安樂區,基隆市私立耶魯幼兒園,私立,基隆市安樂區武嶺街247之6-10，213之5-9，215，215之1-5號,121.708797,25.138224,(02)24312177
70,基隆市,安樂區,基隆市私立親親幼兒園,私立,基隆市安樂區麥金路230、232、234號1樓至3樓,121.720964,25.135674,(02)24312121
71,基隆市,安樂區,基隆市私立長春藤幼兒園,私立,基隆市安樂區樂利三街8巷33號1樓,121.718532,25.129873,(02)24331819
72,基隆市,安樂區,基隆市私立德寶幼兒園,私立,基隆市安樂區樂利二街62巷235,121.71639,25.121033,(02)24330189
73,基隆市,安樂區,基隆市私立嘉成幼兒園,私立,基隆市安樂區基金三路52之6、7號1-2樓,121.696802,25.155017,(02)24333938
74,基隆市,安樂區,基隆市私立長庚森林幼兒園,私立,基隆市安樂區基金一路208巷186、190號1樓,121.707717,25.148064,(02)24324188
75,基隆市,安樂區,基隆市武崙非營利幼兒園(委託社團法人臺灣兒童教育發展協會辦理),非營利,基隆市安樂區基金二路3巷1號,121.702631,25.142741,921950917
76,基隆市,暖暖區,基隆市暖暖區暖暖國民小學附設幼兒園,公立,基隆市暖暖區暖暖街121號,121.737156,25.100553,(02)24592334
77,基隆市,暖暖區,基隆市立過港幼兒園,公立,基隆市暖暖區過港路56號,121.738951,25.104199,(02)24581815#30
78,基隆市,暖暖區,基隆市暖暖區碇內國民小學附設幼兒園,公立,基隆市暖暖區源遠路258號,121.754113,25.098099,(02)24581300#60
79,基隆市,暖暖區,基隆市暖暖區暖江國民小學附設幼兒園,公立,基隆市暖暖區寧靜街3號1-2樓,121.737778,25.10537,(02)24574348#20
80,基隆市,暖暖區,基隆市私立小象幼兒藝術幼兒園,私立,基隆市暖暖區暖暖街52號,121.7379,25.101725,(02)24596888
81,基隆市,暖暖區,基隆市私立奇瓦迪幼兒園,私立,基隆市暖暖區暖暖街457號1-3樓,121.736861,25.093052,(02)24582020
82,基隆市,暖暖區,基隆市私立幼新幼兒園,私立,基隆市暖暖區碇內街5號、5之1號、7號、7之1號1樓,121.755247,25.096397,(02)24582988
83,基隆市,暖暖區,基隆市私立小天使幼兒園,私立,基隆市暖暖區過港路214號2-3樓,121.734955,25.108526,(02)24593288
84,基隆市,暖暖區,基隆市私立幼幼幼兒園,私立,基隆市暖暖區暖暖街335巷30號,121.735839,25.093755,(02)24579373
85,基隆市,暖暖區,基隆市私立吉貝兒幼兒園,私立,基隆市暖暖區暖碇路153、155號1-2樓,121.756787,25.097546,(02)24580023
86,基隆市,暖暖區,基隆市私立大華幼兒園,私立,基隆市暖暖區暖暖街216號,121.734838,25.098671,(02)24583046
87,基隆市,暖暖區,基隆市私立暖心幼兒園,私立,基隆市暖暖區暖暖街449號,121.736566,25.092994,(02)24582020
88,基隆市,暖暖區,基隆市暖西非營利幼兒園(委託社團法人台灣幼兒早期教育協會辦理),非營利,基隆市暖暖區暖暖街350號,121.735197,25.093845,(02)23770309
89,基隆市,七堵區,基隆市立安心幼兒園六堵分班,公立,基隆市七堵區工建路104巷17-2號2樓,121.701846,25.090757,(02)24515636
90,基隆市,七堵區,基隆市立安心幼兒園百福分班,公立,基隆市七堵區百一街185號,121.699946,25.081326,(02)24528194
91,基隆市,七堵區,基隆市七堵區長興國民小學附設幼兒園,公立,基隆市七堵區東新街3號,121.714059,25.0925,(02)24558901
92,基隆市,七堵區,基隆市七堵區五堵國民小學附設幼兒園,公立,基隆市七堵區百一街25號,121.694574,25.079666,(02)24511457#60
93,基隆市,七堵區,基隆市七堵區堵南國民小學附設幼兒園,公立,基隆市七堵區大德路120號,121.692171,25.083247,(02)24511339#60
94,基隆市,七堵區,基隆市七堵區七堵國民小學附設幼兒園,公立,基隆市七堵區明德一路184號,121.713618,25.09775,(02)24567116#60
95,基隆市,七堵區,基隆市七堵區瑪陵國民小學附設幼兒園,公立,基隆市七堵區大成街1號,121.68989,25.10986,(02)24565663#60
96,基隆市,七堵區,基隆市七堵區復興國民小學附設幼兒園,公立,基隆市七堵區華新二街21號,121.665499,25.107329,(02)24515601#60
97,基隆市,七堵區,基隆市七堵區華興國民小學附設幼兒園,公立,基隆市七堵區泰安路34號,121.708025,25.087775,(02)24512022#60
98,基隆市,七堵區,基隆市私立小象幼兒園,私立,基隆市七堵區崇禮街28號1-3樓,121.715335,25.097978,(02)24557788
99,基隆市,七堵區,基隆市私立神奇寶貝幼兒園,私立,基隆市七堵區南興路90號,121.712433,25.096636,(02)24556580
100,基隆市,七堵區,基隆市私立嘉仁幼兒園,私立,基隆市七堵區福五街174、174之1、174之2號、174號2樓之1,121.697377,25.089388,(02)24518885
101,基隆市,七堵區,基隆市私立名人幼兒園,私立,基隆市七堵區百三街89巷2、4號1-2樓,121.697168,25.082201,(02)24520661
102,基隆市,七堵區,基隆市私立全美幼兒園,私立,基隆市七堵區東新街84號,121.71966,25.093294,(02)24555555
103,基隆市,七堵區,基隆市私立貝貝幼兒園,私立,基隆市七堵區崇智街27巷26、28號,121.712481,25.099429,(02)24565403
104,基隆市,七堵區,基隆市私立小象童寶幼兒園,私立,基隆市七堵區百六街90、92號1樓,121.698813,25.085925,(02)24522288
105,基隆市,七堵區,基隆市私立安特幼兒園,私立,基隆市七堵區百六街100巷25號1樓,121.696924,25.08443,(02)24527782
106,基隆市,七堵區,基隆市私立名將幼兒園,私立,基隆市七堵區百七街66、70號,121.69768,25.087102,(02)24512222
107,基隆市,七堵區,基隆市私立艾佛頓幼兒園,私立,基隆市七堵區福五街42號,121.699179,25.083535,(02)24514281
108,基隆市,七堵區,基隆市私立小象文教幼兒園,私立,基隆市七堵區明德一路322號,121.710407,25.094013,(02)24558877
109,基隆市,七堵區,基隆市百福非營利幼兒園(委託財團法人彭婉如文教基金會辦理),非營利,基隆市七堵區福五街1號,121.698657,25.083663,(02)24525331
110,台北市,中正區,臺北市中正區螢橋國民小學附設幼兒園,公立,臺北市中正區詔安街29號1樓,121.514446,25.024927,(02)23048543#21
111,台北市,中正區,臺北市中正區國語實驗國民小學附設幼兒園,公立,臺北市中正區重慶南路二段14之4號1樓至2樓,121.512677,25.032312,(02)23118126#19
112,台北市,中正區,臺北市中正區東門國民小學附設幼兒園,公立,臺北市中正區仁愛路一段2之4號,121.520741,25.03862,(02)23412051#36
113,台北市,中正區,臺北市中正區忠義國民小學附設幼兒園,公立,臺北市中正區中華路二段307巷17號1樓,121.506266,25.029588,(02)23035882
114,台北市,中正區,臺北市中正區河堤國民小學附設幼兒園,公立,臺北市中正區汀州路二段180號1樓,121.522645,25.023261,(02)23677144#175
115,台北市,中正區,臺北市中正區忠孝國民小學附設幼兒園,公立,臺北市中正區忠孝東路二段101號1樓,121.531575,25.042891,(02)23918170#833
116,台北市,中正區,臺北市立大學附設實驗國民小學附設幼兒園,公立,臺北市中正區公園路29號1樓,121.515272,25.036332,(02)23117991
117,台北市,中正區,臺北市立中正幼兒園,公立,臺北市中正區濟南路二段46號2樓,121.530902,25.040351,(02)23933620
118,台北市,中正區,臺北市中正區南門國民小學附設幼兒園,公立,臺北市中正區廣州街6號,121.509094,25.035229,(02)23715052#801
119,台北市,中正區,臺北市私立南門幼兒園,私立,臺北市中正區重慶南路三段27巷4號1樓,121.516037,25.028537,(02)23910571
120,台北市,中正區,財團法人中華基督教衛理公會附設臺北市私立城中衛理幼兒園,私立,臺北市中正區寧波東街9巷6號1樓,121.519694,25.032622,(02)23952273
121,台北市,中正區,財團法人台北市私立強恕高級中學附設臺北市私立幼兒園,私立,臺北市中正區汀州路二段143號1樓,121.520168,25.024864,(02)23680818
122,台北市,中正區,國防醫學院附設臺北市私立愛德幼兒園,私立,臺北市中正區汀州路3段24巷5弄12號1樓\39號1.2樓\41號1樓\43號1樓,121.527547,25.015991,(02)23686489
123,台北市,中正區,臺北市私立傑瑞富幼兒園,私立,臺北市中正區忠孝東路一段9號2樓,121.52367,25.044933,(02)5582-5168#0208
124,台北市,中正區,臺北市私立聯華幼兒園,私立,臺北市中正區南海路110之1號1樓,121.507976,25.027736,(02)23078855
125,台北市,中正區,臺北市私立中正區清華幼兒園,私立,臺北市中正區貴陽街一段58號,121.509348,25.038865,(02)23118221
126,台北市,中正區,臺北市私立寶貝幼兒園,私立,臺北市中正區寧波西街181巷44號1、2樓,121.509629,25.026398,(02)23053874
127,台北市,中正區,法務部附設臺北市私立員工子女幼兒園,私立,臺北市中正區重慶南路1段136巷2號1樓,121.51223,25.036238,(02)23713445
128,台北市,中正區,國立臺灣大學醫學院附設醫院附設臺北市私立員工子女幼兒園,私立,臺北市中正區常德街1號1樓,121.517172,25.041399,(02)23123456#67384
129,台北市,中正區,臺北市私立蒙特梭利童圓幼兒園,私立,臺北市中正區濟南路二段54-1號1至2樓,121.531505,25.040002,(02)23957517
130,台北市,中正區,臺北市私立巨勝幼兒園,私立,臺北市中正區金山南路一段67巷8號1、2樓及8之1號1樓,121.528693,25.037659,(02)23936965
131,台北市,中正區,臺灣高等法院附設臺北市私立員工子女幼兒園,私立,臺北市中正區重慶南路一段136巷4號1樓,121.511798,25.036263,(02)23319976
132,台北市,中正區,財團法人信誼基金會附設臺北市私立實驗幼兒園,私立,臺北市中正區重慶南路二段75號2樓,121.515366,25.03001,(02)23965305#1023
133,台北市,中正區,臺北市私立涵鈺新天地幼兒園,私立,臺北市中正區林森南路12號3樓之1,121.522594,25.042659,(02)23576386
134,台北市,中正區,臺北市私立智寶園幼兒園,私立,臺北市中正區羅斯福路2段50號2樓之1及2樓之2,121.521595,25.02786,(02)23560362
135,台北市,中正區,臺北市私立百家姓幼兒園,私立,臺北市中正區延平南路248巷3號1樓及中華路二段75巷22號1樓,121.510306,25.044228,(02)23810932
136,台北市,中正區,臺北市私立維格幼兒園,私立,臺北市中正區廣州街8巷13號1樓,121.508146,25.034452,(02)23816101
137,台北市,中正區,臺北市私立乖乖幼兒園,私立,臺北市中正區南海路96之1及96之2號1至2樓,121.508484,25.028452,(02)23033807
138,台北市,中正區,臺北市私立家緣蒙特梭利幼兒園,私立,臺北市中正區杭州南路1段131巷5號1樓,121.525347,25.036563,(02)33222686
139,台北市,中正區,臺北市私立何嘉仁臨沂幼兒園,私立,臺北市中正區臨沂街65巷1號1樓、2樓、3樓,121.528918,25.036279,(02)23919678
140,台北市,中正區,耕莘健康管理專科學校附設臺北市私立螢橋非營利幼兒園(臺北市政府委託辦理),非營利,臺北市中正區汀洲路三段4號,121.526191,25.01962,(02)23621061
141,台北市,大同區,臺北市大同區雙蓮國民小學附設幼兒園,公立,臺北市大同區錦西街51號,121.516672,25.060117,(02)25570309#1111
142,台北市,大同區,臺北市大同區延平國民小學附設幼兒園,公立,臺北市大同區昌吉街97號,121.512362,25.06603,(02)25958313#514
143,台北市,大同區,臺北市大同區太平國民小學附設幼兒園,公立,臺北市大同區延平北路二段239號,121.511239,25.05994,(02)25532229#805
144,台北市,大同區,臺北市大同區大同國民小學附設幼兒園,公立,臺北市大同區大龍街51號,121.516103,25.064791,(02)25965407#171
145,台北市,大同區,臺北市大同區日新國民小學附設幼兒園,公立,臺北市大同區太原路151號,121.516476,25.054386,(02)25584819#512
146,台北市,大同區,臺北市大同區大橋國民小學附設幼兒園,公立,臺北市大同區重慶北路三段2號,121.513379,25.064287,(02)25944413#162
147,台北市,大同區,臺北市大同區大龍國民小學附設幼兒園,公立,臺北市大同區哈密街47號,121.516721,25.073405,(02)25942635#878
148,台北市,大同區,臺北市立大同幼兒園,公立,臺北市大同區南京西路64巷9弄8號,121.518908,25.052375,(02)25595901
149,台北市,大同區,臺北市大同區永樂國民小學附設幼兒園,公立,臺北市大同區延平北路二段266號,121.511134,25.061693,(02)25534882#115
150,台北市,大同區,臺北市大同區蓬萊國民小學附設幼兒園,公立,臺北市大同區寧夏路35號,121.515568,25.056533,(02)25569835#110
151,台北市,大同區,臺北市私立功文雪泥幼兒園,私立,臺北市大同區哈密街59巷79、81號1、2、3樓,121.515811,25.07545,(02)25948254
152,台北市,大同區,臺北市私立榮星幼兒園,私立,臺北市大同區歸綏街303巷9號1樓及2樓,121.50876,25.058717,(02)25536699
153,台北市,大同區,臺北市私立博登幼兒園,私立,臺北市大同區承德路三段208巷29號及33號1樓,121.517135,25.070592,(02)25871879
154,台北市,大同區,臺北市私立功文成長幼兒園,私立,臺北市大同區大同區哈密街59巷83號1-2樓,121.516273,25.07614,(02)25946008
155,台北市,大同區,臺北市私立育學幼兒園,私立,臺北市大同區民族西路162巷3號1樓,121.515462,25.068218,(02)25986967
156,台北市,大同區,臺北市私立親兒園蒙特梭利幼兒園,私立,臺北市大同區承德路2段47號2樓及47號2樓之1,121.518396,25.05513,(02)2559-0888
157,台北市,大同區,臺北市私立格爾登幼兒園,私立,臺北市大同區承德路三段40號1樓,121.518103,25.064699,(02)25982833
158,台北市,大同區,臺北市私立水晶幼兒園,私立,臺北市大同區延平北路二段272巷7號1樓,121.510773,25.062161,(02)25535198
159,台北市,大同區,臺北市私立海桔斯幼兒園,私立,臺北市大同區延平北路二段286、286之1、286之2、286之3、286之4號1樓,121.510763,25.062615,(02)25532687
160,台北市,大同區,財團法人陳德星堂附設臺北市私立德星幼兒園,私立,臺北市大同區寧夏路27號1樓,121.515041,25.055567,(02)25567150#16
161,台北市,大同區,臺北市私立甜甜屋幼兒園,私立,臺北市大同區重慶北路三段296巷4弄4號1樓,121.513349,25.073367,(02)25960916
162,台北市,大同區,臺北市私立甜甜屋親子幼兒園,私立,臺北市大同區哈密街143之2號及143之3號1樓,121.513322,25.073183,(02)25960916
163,台北市,大同區,財團法人天主教會台北教區附設臺北市私立聖心幼兒園,私立,臺北市大同區民生西路245號1樓至3樓,121.51486,25.057193,(02)25578119
164,台北市,大同區,財團法人王氏太原堂附設臺北市私立太原幼兒園,私立,臺北市大同區迪化街二段243巷2號1樓,121.512697,25.071715,(02)25942628
165,台北市,大同區,臺北市大龍峒非營利幼兒園（委託財團法人台北基督教女青年會辦理）,非營利,臺北市大同區重慶北路3段320號（臺北市立啟聰學校內）,121.513589,25.074698,(02)25922221
166,台北市,大同區,臺北市明倫非營利幼兒園（委託社團法人中華兆陽文教發展協會辦理）,非營利,臺北市大同區承德路3段285-7號,121.519752,25.073713,(02)25350526
167,台北市,大同區,臺北市重慶非營利幼兒園（委託財團法人彭婉如文教基金會辦理）,非營利,臺北市大同區大龍街187巷1號1,121.516765,25.069322,(02)25918330
168,台北市,中山區,臺北市立中山幼兒園,公立,臺北市中山區大直街25號1、2樓,121.546614,25.081855,(02)25336738
169,台北市,中山區,臺北市中山區長安國民小學附設幼兒園,公立,臺北市中山區吉林路15號,121.530182,25.049759,(02)25617600#172
170,台北市,中山區,臺北市中山區懷生國民小學附設幼兒園,公立,臺北市中山區安東街16巷2號,121.541745,25.045276,(02)27710846#903
171,台北市,中山區,臺北市中山區大佳國民小學附設幼兒園,公立,臺北市中山區濱江街107號2樓,121.535954,25.073302,(02)25059744
172,台北市,中山區,臺北市中山區濱江國民小學附設幼兒園,公立,臺北市中山區樂群2路266巷99號,121.562382,25.07803,(02)85021571#1500
173,台北市,中山區,臺北市中山區大直國民小學附設幼兒園,公立,臺北市中山區大直街2號,121.546432,25.080494,(02)25336733#13
174,台北市,中山區,臺北市中山區永安國民小學附設幼兒園,公立,臺北市中山區明水路397巷19弄1號,121.549392,25.078735,(02)25335672#270
175,台北市,中山區,臺北市中山區五常國民小學附設幼兒園,公立,臺北市中山區五常街16號,121.542213,25.064195,(02)25023416#114
176,台北市,中山區,臺北市中山區吉林國民小學附設幼兒園,公立,臺北市中山區長春路116號,121.52963,25.054717,(02)25221525#10
177,台北市,中山區,臺北市中山區長春國民小學附設幼兒園,公立,臺北市中山區長春路165號,121.533883,25.054948,(02)25024366#184
178,台北市,中山區,臺北市中山區中山國民小學附設幼兒園,公立,臺北市中山區民權東路一段69號,121.526315,25.062913,(02)25914085#52
179,台北市,中山區,臺北市立育航幼兒園,公立,臺北市中山區長春路256號,121.538872,25.054594,(02)25178372#210
180,台北市,中山區,臺北市中山區中正國民小學附設幼兒園,公立,臺北市中山區龍江路62號,121.540263,25.050622,(02)25063653#174
181,台北市,中山區,臺北市私立蘊品幼兒園,私立,臺北市中山區基湖路147號1樓,121.56384,25.078044,(02)25322793
182,台北市,中山區,臺北市私立正光幼兒園,私立,臺北市中山區松江路362巷13、15、17、19號1樓,121.530672,25.062066,(02)25223774
183,台北市,中山區,臺北市私立愛迪兒幼兒園,私立,臺北市中山區松江路170巷17號2樓,121.531013,25.056135,(02)25222745
184,台北市,中山區,臺北市私立小伊園幼兒園,私立,臺北市中山區伊通街27之1號1樓,121.535084,25.049952,(02)25167861
185,台北市,中山區,臺北市私立山秀幼兒園,私立,臺北市中山區明水路606巷16號2樓及18號1至2樓,121.552224,25.081866,(02)85021798
186,台北市,中山區,臺北市私立蒙特梭利快樂園幼兒園,私立,臺北市中山區樂群二路188、190號1樓,121.561955,25.080421,(02)25337952
187,台北市,中山區,臺北市私立卡兒堡大直幼兒園,私立,臺北市中山區堤頂大道2段342、344號1、2樓、1樓夾層,121.559636,25.084258,(02)85021515
188,台北市,中山區,臺北市私立幼馨幼兒園,私立,臺北市中山區合江街180巷19號1樓,121.538289,25.061191,(02)25080977
189,台北市,中山區,有限責任臺北市立五常國民中學員生消費合作社附設臺北市私立員工子女幼兒園,私立,臺北市中山區復興北路430巷1號1樓,121.543092,25.06349,(02)25048846
190,台北市,中山區,臺北市私立喬可幼兒園,私立,臺北市中山區北安路554巷19號,121.549015,25.080172,(02)25329555
191,台北市,中山區,臺北市私立嘉霖幼兒園,私立,臺北市中山區民權東路2段107號2樓、3樓、3樓之1、2、3,121.532788,25.062701,(02)25927525
192,台北市,中山區,臺北市私立艾達幼兒園,私立,臺北市中山區堤頂大道二段282、284、286號1樓、1樓夾層,121.559636,25.084258,(02)85011373
193,台北市,中山區,臺北市私立松江蒙特梭利幼兒園,私立,臺北市中山區松江路124巷21、23、25號,121.530657,25.052658,(02)25639885
194,台北市,中山區,臺北市私立荳荳園幼兒園,私立,臺北市中山區龍江路31號2樓,121.54052,25.048639,(02)27771300
195,台北市,中山區,臺北市私立國際蒙特梭利幼兒園,私立,臺北市中山區樂群二路128號1樓,121.555967,25.079709,(02)85021622
